               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069276,            0.031352,            0.018586,             0.70519,             0.68945,             0.72985,             0.34932,            0.042452,            0.015799,           0.0059899,           0.0033291,           0.0033291,            0.070038
                   1,            0.047896,            0.019316,           0.0066033,             0.81608,             0.80087,             0.83701,             0.46261,            0.035337,            0.013269,           0.0077927,           0.0066619,           0.0066619,            0.040037
                   2,            0.042075,            0.017495,             0.00582,             0.86352,             0.79163,             0.86389,             0.49735,            0.034974,            0.013007,           0.0039543,           0.0099923,           0.0099923,            0.010034
                   3,            0.037569,            0.018143,           0.0056483,             0.90224,             0.82571,             0.88893,              0.5672,            0.029874,            0.012537,           0.0038249,           0.0099921,           0.0099921,           0.0099921
                   4,            0.034534,            0.017251,           0.0050452,             0.89639,             0.86122,             0.90463,             0.58244,            0.028285,            0.012101,           0.0032647,           0.0099921,           0.0099921,           0.0099921
                   5,             0.03252,            0.016644,           0.0046753,             0.91466,             0.82688,             0.89414,             0.57387,            0.029103,            0.012461,           0.0037927,            0.009986,            0.009986,            0.009986
                   6,            0.031649,            0.016402,           0.0047235,             0.90303,             0.86886,             0.90689,             0.59817,            0.027784,            0.011955,           0.0031845,           0.0099781,           0.0099781,           0.0099781
                   7,            0.030556,            0.016095,           0.0042573,             0.93115,             0.85569,             0.91209,             0.61104,            0.026705,            0.011537,           0.0035749,           0.0099685,           0.0099685,           0.0099685
                   8,            0.029709,             0.01571,            0.003951,             0.93462,             0.84285,             0.90705,             0.60544,            0.027361,            0.011972,           0.0032656,           0.0099571,           0.0099571,           0.0099571
                   9,            0.029308,            0.015588,           0.0036779,             0.92844,             0.85548,             0.91615,             0.63124,            0.026163,            0.011378,           0.0037569,            0.009944,            0.009944,            0.009944
                  10,            0.028832,            0.015396,           0.0034468,              0.9407,             0.86015,             0.91717,             0.62165,            0.026716,            0.011372,           0.0033598,           0.0099291,           0.0099291,           0.0099291
                  11,            0.028457,            0.015444,           0.0034077,             0.93092,             0.86632,             0.91909,             0.62143,            0.026092,            0.011363,           0.0029168,           0.0099126,           0.0099126,           0.0099126
                  12,            0.028372,            0.015352,           0.0037657,             0.94165,             0.86141,             0.92228,             0.63788,            0.025427,            0.011286,           0.0028648,           0.0098943,           0.0098943,           0.0098943
                  13,            0.027985,            0.015337,           0.0029903,             0.92755,             0.86971,             0.91821,             0.63591,            0.025362,            0.011236,           0.0038981,           0.0098743,           0.0098743,           0.0098743
                  14,            0.027984,            0.015294,           0.0032782,             0.92747,             0.86347,             0.91618,             0.63245,            0.025425,            0.011397,           0.0027914,           0.0098527,           0.0098527,           0.0098527
                  15,            0.027513,            0.014799,           0.0032566,             0.93666,             0.86587,             0.91512,             0.62913,            0.025683,            0.011294,           0.0035963,           0.0098293,           0.0098293,           0.0098293
                  16,            0.027549,            0.015279,            0.002964,             0.93521,              0.8621,             0.91896,             0.63689,            0.025124,             0.01147,           0.0028846,           0.0098042,           0.0098042,           0.0098042
                  17,            0.027126,            0.014989,           0.0029049,             0.92333,             0.87273,             0.91968,             0.63171,            0.025017,            0.011406,            0.002942,           0.0097775,           0.0097775,           0.0097775
                  18,            0.027127,            0.014872,            0.002743,              0.9316,             0.87099,             0.92298,             0.64261,            0.025145,            0.011258,           0.0029089,           0.0097491,           0.0097491,           0.0097491
                  19,            0.026909,            0.014754,           0.0026759,              0.9408,             0.87247,             0.92005,             0.64084,            0.025052,            0.011504,           0.0028756,           0.0097191,           0.0097191,           0.0097191
                  20,            0.026567,            0.014373,           0.0023414,             0.95376,             0.87004,             0.92345,             0.63941,            0.024764,            0.011255,           0.0027939,           0.0096875,           0.0096875,           0.0096875
                  21,            0.026362,            0.014591,           0.0026392,             0.94746,             0.86825,             0.92698,             0.64308,            0.025008,            0.011121,           0.0027684,           0.0096542,           0.0096542,           0.0096542
                  22,            0.026277,              0.0145,           0.0026198,             0.94748,             0.86397,             0.91972,             0.64021,            0.025056,            0.011397,           0.0029297,           0.0096193,           0.0096193,           0.0096193
                  23,            0.026149,            0.014602,           0.0026703,             0.92748,             0.86543,             0.92095,             0.64006,            0.024792,            0.011212,           0.0029624,           0.0095828,           0.0095828,           0.0095828
                  24,            0.026204,            0.014504,           0.0025199,             0.93217,              0.8566,             0.91959,             0.63987,            0.024934,            0.011225,           0.0033324,           0.0095448,           0.0095448,           0.0095448
                  25,            0.025832,            0.014569,           0.0023966,              0.9341,             0.86887,             0.92237,             0.64835,            0.024739,            0.011218,           0.0028707,           0.0095052,           0.0095052,           0.0095052
                  26,            0.025897,            0.014161,           0.0023688,             0.93678,             0.87139,             0.92297,             0.64972,            0.024695,            0.011251,           0.0029288,           0.0094641,           0.0094641,           0.0094641
                  27,            0.025387,            0.014143,           0.0026048,             0.91882,             0.89485,             0.92807,             0.64691,            0.024578,             0.01102,           0.0026658,           0.0094215,           0.0094215,           0.0094215
                  28,            0.025921,             0.01449,           0.0023866,             0.94507,             0.86891,             0.92202,             0.64712,            0.024614,             0.01126,           0.0032675,           0.0093773,           0.0093773,           0.0093773
                  29,            0.025604,            0.014342,           0.0024172,             0.95333,             0.85901,             0.92143,             0.64954,            0.024596,            0.011182,           0.0030622,           0.0093317,           0.0093317,           0.0093317
                  30,            0.025245,            0.013944,           0.0023503,             0.93536,             0.88074,             0.92788,              0.6516,            0.024657,            0.011124,           0.0028054,           0.0092846,           0.0092846,           0.0092846
                  31,             0.02519,             0.01395,           0.0022092,             0.94696,             0.87381,             0.92823,             0.65336,            0.024457,            0.010992,           0.0026517,           0.0092361,           0.0092361,           0.0092361
                  32,            0.024989,            0.013856,           0.0022148,              0.9496,             0.86049,             0.92184,             0.64759,            0.024681,            0.011321,           0.0029139,           0.0091861,           0.0091861,           0.0091861
                  33,            0.024951,            0.013897,           0.0023164,             0.94646,             0.86834,             0.92686,             0.64909,            0.024439,            0.011247,            0.003348,           0.0091348,           0.0091348,           0.0091348
                  34,            0.024753,            0.013728,           0.0020735,             0.93967,             0.88499,             0.92664,             0.65326,            0.024297,            0.011075,           0.0027168,           0.0090821,           0.0090821,           0.0090821
                  35,            0.024777,            0.013759,           0.0020526,             0.94541,             0.87049,             0.92817,             0.65544,            0.024307,            0.011015,           0.0030521,            0.009028,            0.009028,            0.009028
                  36,            0.024755,             0.01378,           0.0019357,             0.93697,             0.87913,             0.92578,             0.64777,            0.024345,            0.011035,           0.0034762,           0.0089726,           0.0089726,           0.0089726
