               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074595,            0.028925,            0.017132,             0.62038,             0.68358,             0.64983,             0.28367,             0.04737,            0.015796,           0.0074175,            0.003325,            0.003325,            0.070075
                   1,            0.051223,            0.019774,           0.0070452,             0.79175,             0.74188,             0.76903,             0.35293,            0.041569,            0.013751,           0.0072843,           0.0066577,           0.0066577,            0.040075
                   2,            0.044975,             0.01866,           0.0060952,             0.81464,             0.69527,              0.7698,             0.43405,            0.039292,            0.014353,           0.0067212,           0.0099881,           0.0099881,            0.010072
                   3,            0.039993,            0.018702,           0.0059221,             0.90349,             0.79361,              0.8571,              0.5095,            0.033545,            0.013538,           0.0038534,           0.0099921,           0.0099921,           0.0099921
                   4,             0.03651,            0.017853,           0.0051117,             0.93851,              0.8044,             0.88515,             0.54736,            0.031957,            0.012556,           0.0034413,           0.0099921,           0.0099921,           0.0099921
                   5,             0.03471,             0.01739,           0.0046949,             0.92909,             0.80119,             0.88587,             0.57113,            0.030668,            0.012251,           0.0037691,            0.009986,            0.009986,            0.009986
                   6,            0.033542,            0.017289,           0.0046578,             0.94223,             0.82461,             0.89792,             0.57932,            0.029538,            0.012163,           0.0034523,           0.0099781,           0.0099781,           0.0099781
                   7,            0.033009,            0.016876,           0.0043917,              0.9227,             0.82154,              0.8905,             0.57838,            0.029508,            0.012318,            0.003302,           0.0099685,           0.0099685,           0.0099685
                   8,              0.0321,            0.016657,           0.0041243,             0.92348,             0.84071,             0.90003,             0.58524,            0.029154,            0.011849,           0.0031252,           0.0099571,           0.0099571,           0.0099571
                   9,            0.031785,            0.016379,           0.0039666,              0.9277,             0.84053,             0.89844,             0.60083,            0.028578,            0.011835,           0.0029696,            0.009944,            0.009944,            0.009944
                  10,            0.031276,            0.016235,           0.0039396,             0.92868,             0.83621,             0.90186,             0.60058,            0.028431,            0.011709,           0.0032043,           0.0099291,           0.0099291,           0.0099291
                  11,            0.030777,            0.016178,            0.003568,             0.93267,             0.84335,             0.90429,             0.61105,            0.027637,            0.011491,           0.0032282,           0.0099126,           0.0099126,           0.0099126
                  12,            0.030273,            0.016181,           0.0037056,             0.92683,             0.86187,             0.91126,             0.60705,            0.027919,            0.011514,           0.0030754,           0.0098943,           0.0098943,           0.0098943
                  13,            0.029996,            0.015921,           0.0036281,             0.91954,              0.8541,             0.91087,             0.61429,            0.027408,            0.011548,           0.0029336,           0.0098743,           0.0098743,           0.0098743
                  14,            0.029861,            0.015976,            0.003469,             0.92643,             0.84914,              0.9071,             0.61123,            0.027643,            0.011673,           0.0028322,           0.0098527,           0.0098527,           0.0098527
                  15,            0.029474,            0.015412,           0.0032036,             0.93597,             0.85497,             0.91416,             0.62286,            0.027446,            0.011416,           0.0029469,           0.0098293,           0.0098293,           0.0098293
                  16,            0.030026,            0.015749,            0.003585,             0.91626,             0.85393,             0.90984,             0.61877,            0.027596,            0.011598,           0.0030901,           0.0098042,           0.0098042,           0.0098042
                  17,             0.02974,            0.016017,           0.0031361,             0.93081,             0.85422,             0.90999,              0.6167,            0.027498,            0.011502,           0.0031945,           0.0097775,           0.0097775,           0.0097775
                  18,            0.029066,            0.015499,           0.0030625,             0.94541,             0.84021,             0.91118,             0.61716,            0.027285,            0.011454,           0.0031452,           0.0097491,           0.0097491,           0.0097491
                  19,            0.029267,            0.015664,           0.0031586,             0.92198,             0.86213,             0.91321,             0.63012,            0.026599,            0.011284,           0.0030438,           0.0097191,           0.0097191,           0.0097191
                  20,            0.028962,             0.01537,           0.0029795,             0.93367,             0.85429,             0.91125,             0.62651,            0.026923,             0.01141,           0.0031477,           0.0096875,           0.0096875,           0.0096875
                  21,            0.028662,            0.015096,           0.0029673,             0.92786,             0.85573,             0.91172,             0.61775,            0.027305,            0.011357,           0.0032555,           0.0096542,           0.0096542,           0.0096542
                  22,            0.028421,            0.014957,           0.0029743,             0.93859,              0.8575,              0.9147,             0.63167,            0.026817,            0.011221,           0.0031003,           0.0096193,           0.0096193,           0.0096193
                  23,            0.028185,            0.015651,           0.0029581,             0.92732,             0.86801,             0.91254,             0.62258,            0.027054,            0.011435,           0.0028725,           0.0095828,           0.0095828,           0.0095828
                  24,            0.028054,            0.015262,           0.0028527,             0.93918,             0.85149,             0.91136,             0.61833,            0.026548,            0.011262,            0.003301,           0.0095448,           0.0095448,           0.0095448
                  25,            0.028401,            0.015264,            0.002841,             0.93457,             0.85897,             0.91634,             0.62511,            0.026577,            0.011344,           0.0029032,           0.0095052,           0.0095052,           0.0095052
                  26,            0.027935,            0.015031,           0.0027289,             0.94119,             0.86064,             0.91984,             0.63405,            0.026464,            0.011312,           0.0031319,           0.0094641,           0.0094641,           0.0094641
                  27,             0.02781,            0.015284,           0.0028155,             0.93682,             0.86826,             0.91877,             0.63136,            0.026331,            0.011113,           0.0031824,           0.0094215,           0.0094215,           0.0094215
                  28,            0.027919,            0.014917,           0.0026028,             0.94468,             0.85494,             0.91796,             0.63176,             0.02637,            0.011229,           0.0029843,           0.0093773,           0.0093773,           0.0093773
                  29,            0.027662,            0.014799,           0.0025469,             0.94145,             0.86293,             0.91349,             0.63305,            0.026201,            0.011237,           0.0031544,           0.0093317,           0.0093317,           0.0093317
                  30,            0.027739,            0.015024,           0.0024426,             0.93133,             0.86874,             0.91697,             0.63573,            0.026058,            0.011014,           0.0032213,           0.0092846,           0.0092846,           0.0092846
                  31,            0.027486,            0.014943,           0.0025302,             0.94512,             0.86476,             0.92309,             0.63179,            0.026225,            0.011203,           0.0029198,           0.0092361,           0.0092361,           0.0092361
                  32,            0.027453,            0.015088,           0.0025424,             0.94545,             0.84804,             0.91892,             0.63834,            0.026263,            0.011321,           0.0028882,           0.0091861,           0.0091861,           0.0091861
                  33,            0.027417,            0.014685,           0.0024779,             0.93342,             0.87414,             0.91733,             0.63552,            0.026178,            0.011207,           0.0027208,           0.0091348,           0.0091348,           0.0091348
                  34,            0.027105,            0.014539,           0.0023689,             0.92446,             0.86837,             0.91853,             0.63886,            0.025918,            0.011172,           0.0031092,           0.0090821,           0.0090821,           0.0090821
                  35,            0.027185,            0.014499,           0.0023088,             0.93975,             0.85896,             0.91824,             0.63654,            0.025903,            0.011215,           0.0034244,            0.009028,            0.009028,            0.009028
                  36,            0.027136,            0.014828,           0.0023461,             0.94875,             0.85339,             0.91634,             0.63396,            0.026162,            0.011122,           0.0032163,           0.0089726,           0.0089726,           0.0089726
                  37,            0.026877,             0.01468,           0.0023091,             0.94561,             0.86235,             0.92274,             0.64521,            0.025734,            0.010994,           0.0034415,           0.0089159,           0.0089159,           0.0089159
                  38,            0.026913,            0.014545,           0.0021609,             0.95159,              0.8555,             0.92452,             0.64797,            0.025836,            0.010993,           0.0033967,           0.0088579,           0.0088579,           0.0088579
                  39,            0.026654,            0.014327,           0.0022815,             0.93146,             0.87588,               0.922,             0.64014,             0.02588,            0.011076,           0.0030216,           0.0087987,           0.0087987,           0.0087987
                  40,            0.026735,            0.014574,           0.0021788,             0.93414,             0.87419,             0.92497,              0.6471,            0.025581,            0.010857,           0.0034747,           0.0087382,           0.0087382,           0.0087382
                  41,            0.026488,            0.014469,           0.0020999,             0.92499,             0.87056,             0.91923,                0.64,            0.025839,            0.011093,           0.0036609,           0.0086765,           0.0086765,           0.0086765
                  42,            0.026635,            0.014158,           0.0022038,             0.92723,              0.8804,             0.92474,             0.64582,            0.025589,            0.011006,           0.0034294,           0.0086137,           0.0086137,           0.0086137
                  43,            0.026699,            0.014509,           0.0022556,             0.92087,             0.88263,             0.92184,             0.64422,            0.025436,            0.010973,           0.0034073,           0.0085497,           0.0085497,           0.0085497
                  44,            0.026399,            0.014467,           0.0023407,             0.95098,             0.86544,             0.92161,             0.64391,            0.025794,            0.010939,           0.0032072,           0.0084846,           0.0084846,           0.0084846
                  45,            0.026457,            0.014328,           0.0020725,             0.93735,             0.87779,             0.92443,             0.64691,              0.0255,            0.010982,           0.0030898,           0.0084184,           0.0084184,           0.0084184
                  46,             0.02598,            0.014453,           0.0022208,             0.94924,             0.86077,              0.9234,             0.64637,            0.025466,            0.010948,           0.0028981,           0.0083511,           0.0083511,           0.0083511
                  47,            0.026006,             0.01426,           0.0019699,             0.92833,             0.87783,             0.92495,              0.6494,            0.025687,            0.011068,           0.0028576,           0.0082829,           0.0082829,           0.0082829
                  48,            0.025931,            0.014062,           0.0020611,             0.94301,             0.86467,             0.92389,             0.64572,            0.025096,            0.010948,           0.0035437,           0.0082136,           0.0082136,           0.0082136
                  49,            0.026021,            0.014264,           0.0019633,             0.93834,             0.87098,             0.92309,             0.65155,            0.025404,            0.010834,           0.0034642,           0.0081433,           0.0081433,           0.0081433
                  50,            0.025889,            0.014115,           0.0019058,             0.93724,              0.8727,             0.92131,             0.64201,            0.025323,            0.010965,           0.0030873,           0.0080721,           0.0080721,           0.0080721
                  51,            0.025535,            0.013881,           0.0019553,             0.94223,             0.87378,             0.92611,             0.64284,              0.0257,            0.010951,           0.0032808,               0.008,               0.008,               0.008
                  52,            0.025045,             0.01402,           0.0018077,             0.93492,             0.87917,             0.92539,             0.65253,            0.025421,            0.010878,           0.0031578,            0.007927,            0.007927,            0.007927
                  53,            0.025287,            0.013859,            0.001942,             0.93453,             0.87778,             0.92859,              0.6497,            0.025536,            0.010952,           0.0029593,           0.0078532,           0.0078532,           0.0078532
                  54,            0.025455,            0.013859,           0.0017303,             0.93245,             0.87987,             0.92747,             0.65132,            0.025213,            0.010869,           0.0029705,           0.0077785,           0.0077785,           0.0077785
                  55,            0.025382,            0.013972,           0.0018268,             0.93342,             0.88463,             0.92642,             0.65077,            0.025634,            0.010774,           0.0029568,           0.0077031,           0.0077031,           0.0077031
                  56,            0.025117,            0.013796,           0.0017389,              0.9422,             0.87868,             0.92349,             0.65085,            0.025604,            0.010908,           0.0033706,           0.0076269,           0.0076269,           0.0076269
                  57,            0.025142,            0.013798,           0.0017864,             0.95326,             0.86539,             0.92493,             0.65292,            0.025335,            0.010908,           0.0031104,           0.0075501,           0.0075501,           0.0075501
                  58,            0.025108,            0.013717,           0.0018079,             0.94749,             0.87368,             0.92811,             0.65265,            0.025451,            0.010937,           0.0029532,           0.0074725,           0.0074725,           0.0074725
                  59,            0.024879,            0.013865,           0.0018109,             0.94379,             0.87299,             0.92568,             0.65164,            0.025201,            0.010985,            0.003089,           0.0073943,           0.0073943,           0.0073943
                  60,            0.024914,            0.013777,            0.001815,             0.95451,             0.86771,             0.93091,             0.64958,            0.025488,            0.010826,           0.0030954,           0.0073155,           0.0073155,           0.0073155
                  61,            0.024645,            0.013569,           0.0018023,             0.94171,             0.88461,             0.92874,             0.65443,            0.025285,            0.010853,            0.003102,           0.0072361,           0.0072361,           0.0072361
                  62,            0.024986,            0.013653,           0.0016138,             0.93692,               0.884,             0.92722,             0.65278,            0.025108,            0.010903,           0.0030921,           0.0071561,           0.0071561,           0.0071561
                  63,            0.024694,            0.013455,           0.0017528,              0.9518,             0.87124,             0.92715,             0.65436,            0.024922,            0.010802,           0.0034153,           0.0070757,           0.0070757,           0.0070757
                  64,            0.024752,            0.013536,           0.0015918,             0.95556,             0.87283,             0.92899,             0.65685,            0.025022,            0.010792,           0.0030568,           0.0069948,           0.0069948,           0.0069948
                  65,            0.024905,            0.013881,           0.0017271,             0.93436,              0.8833,             0.92604,             0.65246,            0.024998,            0.010939,           0.0031134,           0.0069134,           0.0069134,           0.0069134
                  66,            0.024564,            0.013471,           0.0015835,             0.95444,             0.87325,             0.93079,             0.65648,            0.025052,            0.010868,           0.0030114,           0.0068316,           0.0068316,           0.0068316
                  67,            0.024609,            0.013582,           0.0015708,               0.934,             0.87861,             0.92797,             0.65427,            0.025031,            0.010872,           0.0031625,           0.0067495,           0.0067495,           0.0067495
                  68,            0.024653,            0.013419,           0.0016833,             0.95513,             0.86971,             0.92671,             0.65418,              0.0252,            0.010875,            0.003052,           0.0066671,           0.0066671,           0.0066671
                  69,            0.024207,            0.013433,           0.0016863,             0.95528,             0.86797,             0.92838,             0.65827,            0.024918,            0.010859,           0.0029887,           0.0065843,           0.0065843,           0.0065843
                  70,            0.024168,            0.013419,           0.0014991,             0.93543,             0.88686,             0.93085,             0.65843,            0.024962,             0.01079,           0.0031574,           0.0065013,           0.0065013,           0.0065013
                  71,            0.023967,            0.013076,           0.0015669,             0.94078,             0.88383,               0.928,             0.65474,            0.025158,            0.010796,           0.0032538,           0.0064181,           0.0064181,           0.0064181
                  72,            0.023916,            0.013112,           0.0015897,              0.9535,             0.87842,              0.9322,             0.65659,            0.025032,            0.010828,           0.0030415,           0.0063347,           0.0063347,           0.0063347
                  73,            0.024344,             0.01328,           0.0014796,             0.93736,             0.89111,             0.92968,             0.65779,            0.025077,            0.010851,           0.0030725,           0.0062512,           0.0062512,           0.0062512
                  74,             0.02393,            0.013288,           0.0014542,             0.95569,             0.87116,             0.92905,             0.65711,            0.025097,            0.010857,           0.0031341,           0.0061675,           0.0061675,           0.0061675
                  75,            0.023766,            0.013185,           0.0014691,             0.94076,             0.88583,             0.92883,             0.65717,             0.02491,            0.010841,           0.0032438,           0.0060838,           0.0060838,           0.0060838
                  76,            0.023606,            0.013076,           0.0013636,             0.94456,             0.87443,             0.92664,             0.65594,            0.024982,            0.010916,           0.0032862,               0.006,               0.006,               0.006
                  77,            0.023858,            0.013263,           0.0014698,             0.95088,             0.87217,             0.92987,             0.65605,             0.02494,            0.010824,           0.0033871,           0.0059162,           0.0059162,           0.0059162
                  78,             0.02331,            0.012971,           0.0014915,             0.94656,             0.87476,             0.92666,             0.65549,            0.025099,            0.010924,           0.0032804,           0.0058325,           0.0058325,           0.0058325
                  79,            0.023576,            0.012985,           0.0013636,             0.94558,             0.87778,             0.92535,             0.65568,            0.025062,             0.01101,           0.0031351,           0.0057488,           0.0057488,           0.0057488
                  80,            0.023491,             0.01308,           0.0014239,             0.94956,             0.87323,             0.92522,              0.6581,            0.025019,             0.01098,            0.003291,           0.0056653,           0.0056653,           0.0056653
                  81,            0.023308,            0.012973,           0.0014621,             0.94689,             0.87587,             0.92605,             0.65674,            0.025095,             0.01092,           0.0033132,           0.0055819,           0.0055819,           0.0055819
                  82,            0.023216,            0.013263,           0.0014353,             0.93897,             0.88497,             0.92928,             0.65752,            0.025175,            0.010898,           0.0031428,           0.0054987,           0.0054987,           0.0054987
                  83,            0.023211,            0.012847,           0.0015248,              0.9422,             0.88286,             0.92921,             0.65997,            0.024965,            0.010911,           0.0031262,           0.0054157,           0.0054157,           0.0054157
                  84,            0.023006,            0.012826,           0.0013151,             0.94971,             0.88031,             0.92999,             0.66203,            0.024979,            0.010816,           0.0031074,           0.0053329,           0.0053329,           0.0053329
                  85,            0.022903,            0.012752,           0.0013252,             0.95001,             0.87697,             0.93076,             0.66349,            0.024981,            0.010805,           0.0031312,           0.0052505,           0.0052505,           0.0052505
                  86,            0.022891,            0.012662,           0.0014396,             0.95306,              0.8726,             0.92882,             0.66021,            0.024932,            0.010831,           0.0033503,           0.0051684,           0.0051684,           0.0051684
                  87,            0.022795,            0.012896,           0.0011721,              0.9465,             0.87625,             0.92877,             0.65991,            0.024939,            0.010892,           0.0032741,           0.0050866,           0.0050866,           0.0050866
                  88,            0.022759,            0.012623,           0.0012421,              0.9374,             0.88688,             0.92905,             0.65851,            0.025014,            0.010872,           0.0033132,           0.0050052,           0.0050052,           0.0050052
                  89,            0.022622,            0.012848,           0.0012303,             0.95158,             0.87272,              0.9282,             0.65899,            0.024911,            0.010902,           0.0033108,           0.0049243,           0.0049243,           0.0049243
                  90,             0.02272,            0.013051,           0.0012851,             0.95696,              0.8717,             0.92963,             0.66226,            0.024849,             0.01093,           0.0032186,           0.0048439,           0.0048439,           0.0048439
                  91,            0.022546,            0.012664,           0.0012203,             0.95808,             0.87298,              0.9298,              0.6636,            0.024918,            0.010902,           0.0031406,           0.0047639,           0.0047639,           0.0047639
                  92,            0.022102,            0.012104,           0.0012114,             0.95154,              0.8744,             0.92945,             0.66292,            0.024899,            0.010982,           0.0032386,           0.0046845,           0.0046845,           0.0046845
                  93,            0.022373,            0.012316,           0.0012069,               0.951,             0.87514,             0.92851,             0.66301,            0.024884,            0.011031,           0.0033185,           0.0046057,           0.0046057,           0.0046057
                  94,            0.022487,            0.012696,           0.0011521,             0.95082,             0.87753,             0.92943,             0.66263,            0.024824,            0.011035,            0.003168,           0.0045275,           0.0045275,           0.0045275
                  95,            0.022236,            0.012709,           0.0011559,             0.95598,             0.87164,             0.92885,             0.66198,            0.024885,            0.010998,           0.0033821,           0.0044499,           0.0044499,           0.0044499
                  96,              0.0224,            0.012658,           0.0011686,             0.95339,             0.87613,             0.92874,             0.66374,             0.02483,            0.010939,           0.0034456,           0.0043731,           0.0043731,           0.0043731
                  97,            0.022278,            0.012543,           0.0011044,             0.94907,             0.88175,             0.92951,             0.66297,            0.024777,            0.010999,            0.003458,           0.0042969,           0.0042969,           0.0042969
                  98,            0.021978,            0.012267,           0.0010749,             0.95183,              0.8749,             0.92958,             0.66031,             0.02479,            0.011046,           0.0035713,           0.0042215,           0.0042215,           0.0042215
                  99,            0.021802,             0.01198,           0.0012387,             0.95432,              0.8707,             0.92888,             0.65916,            0.024831,             0.01107,           0.0036855,           0.0041468,           0.0041468,           0.0041468
                 100,            0.021489,             0.01218,           0.0011442,             0.95982,             0.86621,             0.92945,             0.66008,            0.024916,            0.011066,           0.0034161,            0.004073,            0.004073,            0.004073
                 101,            0.021892,            0.012423,           0.0010808,             0.93821,             0.88154,             0.92931,             0.65928,            0.024884,            0.011095,           0.0033071,               0.004,               0.004,               0.004
                 102,            0.021644,            0.012104,           0.0010699,             0.93484,             0.88516,             0.92836,             0.65975,            0.024867,            0.011124,           0.0034656,           0.0039279,           0.0039279,           0.0039279
                 103,            0.021993,            0.012552,           0.0010587,             0.94876,             0.87536,             0.92604,             0.66006,            0.024802,            0.011148,            0.003639,           0.0038567,           0.0038567,           0.0038567
                 104,            0.021456,            0.012109,           0.0010807,             0.95827,             0.86958,             0.92872,              0.6587,            0.024822,            0.011133,           0.0035011,           0.0037864,           0.0037864,           0.0037864
                 105,            0.021323,            0.011865,           0.0010482,             0.94851,             0.87866,             0.92848,             0.65981,            0.024862,            0.011172,           0.0034599,           0.0037171,           0.0037171,           0.0037171
                 106,            0.021637,            0.012243,          0.00099338,             0.93972,             0.88415,             0.92793,             0.65917,            0.024908,            0.011229,           0.0035624,           0.0036489,           0.0036489,           0.0036489
                 107,            0.020873,            0.011651,           0.0010406,             0.94338,             0.87982,             0.92856,             0.65974,            0.024947,            0.011272,           0.0035743,           0.0035816,           0.0035816,           0.0035816
                 108,            0.020866,            0.011985,           0.0010274,             0.94987,             0.87775,             0.92975,             0.66027,            0.024931,            0.011246,           0.0035693,           0.0035154,           0.0035154,           0.0035154
                 109,            0.021269,            0.012062,           0.0010401,             0.94732,             0.87831,             0.92862,             0.66092,            0.024913,            0.011207,           0.0035557,           0.0034503,           0.0034503,           0.0034503
                 110,            0.020977,            0.011811,           0.0010156,             0.94194,             0.88345,             0.92963,             0.66208,            0.024899,            0.011192,           0.0035411,           0.0033863,           0.0033863,           0.0033863
                 111,            0.020904,            0.011683,          0.00092391,             0.95043,             0.87649,             0.92937,             0.66012,            0.024925,            0.011207,            0.003623,           0.0033235,           0.0033235,           0.0033235
                 112,            0.020751,            0.011672,            0.001036,             0.94896,             0.87669,             0.92842,             0.65865,            0.024951,            0.011252,           0.0036797,           0.0032618,           0.0032618,           0.0032618
                 113,            0.020796,            0.011821,          0.00092905,             0.95121,             0.87518,             0.92813,             0.65871,            0.024975,            0.011277,            0.003672,           0.0032013,           0.0032013,           0.0032013
                 114,            0.020741,            0.011732,          0.00091755,             0.94928,             0.87834,              0.9282,             0.65896,            0.024982,            0.011297,           0.0036495,           0.0031421,           0.0031421,           0.0031421
                 115,            0.020458,            0.011666,           0.0010495,             0.94876,             0.87899,             0.92781,             0.66041,            0.024982,            0.011286,           0.0035665,           0.0030841,           0.0030841,           0.0030841
                 116,            0.020468,            0.011667,          0.00089647,             0.95201,              0.8784,             0.92776,             0.66108,            0.024952,             0.01129,            0.003551,           0.0030274,           0.0030274,           0.0030274
